OID_,Municipali,Barangay,Ashfall_Th,Measured_T,Other_Rema,LONG,LAT,Z,SOURCE
65,Hinigaran,Quiwi,Light ashfall,1-2mm,"Sound and vibration felt 
With sulfuric smell",486452.860795,1131347.947447,5.000000000000000,NegOcc OpCen
66,Hinigaran,Tagda,Light ashfall,1-2mm,"Sound and vibration felt 
With sulfuric smell",483212.605568,1134347.877719,2.000000000000000,NegOcc OpCen
67,Hinigaran,Tuguis,Light ashfall,1-2mm,"Sound and vibration felt 
With sulfuric smell",489970.268216,1138148.759521,38.000000000000000,NegOcc OpCen
68,Hinigaran,Baga-as,Light ashfall,1-2mm,"Sound and vibration felt 
With sulfuric smell",493375.688282,1138823.507416,105.188340320999998,NegOcc OpCen
69,Hinoba-an,2,Light ashfall,<1mm,-,442847.512459,1060987.497315,28.811249697099999,NegOcc OpCen
70,Ilog,Bocana,Light ashfall,<1mm,-,471390.196272,1107416.782534,1.000000000000000,NegOcc OpCen
71,Ilog,1,Light ashfall,<1mm,-,474520.583943,1107697.990932,3.000000000000000,NegOcc OpCen
72,Ilog,2,Light ashfall,<1mm,-,474774.206474,1109936.746378,1.000000000000000,NegOcc OpCen
73,Ilog,Andulauan,Light ashfall,<1mm,-,477634.146687,1109670.607426,1.000000000000000,NegOcc OpCen
74,Ilog,Dancalan,Light ashfall,<1mm,-,470821.615555,1100504.029059,127.394878140000003,NegOcc OpCen
75,Isabela,Tinongan,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
76,Isabela,Amin,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
77,Isabela,Maytubig,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
78,Isabela,Rumirang,Light to moderate ash fall,1-2mm,-,496484.422789,1130205.598130,15.000000000000000,NegOcc OpCen
79,Isabela,Guintubdan,Light to moderate ash fall,1-2mm,-,494830.480164,1128855.802392,12.000000000000000,NegOcc OpCen
80,Isabela,Bulad,Ashfall,<1mm,-,499069.155404,1132915.386395,17.000000000000000,NegOcc OpCen
81,Isabela,1,Ashfall,<1mm,-,498510.411827,1127294.279879,18.625132913000002,NegOcc OpCen
82,Isabela,2,Ashfall,<1mm, ,498181.852571,1127808.421840,21.000000000000000,NegOcc OpCen
83,Isabela,3,Ashfall,<1mm, ,498072.350525,1128266.166302,20.000000000000000,NegOcc OpCen
84,Isabela,4,Ashfall,<1mm, ,498751.402676,1128090.337655,21.000000000000000,NegOcc OpCen
85,Isabela,5,Ashfall,<1mm, ,499233.354128,1129784.178942,16.000000000000000,NegOcc OpCen
86,Isabela,6,Ashfall,<1mm, ,499189.508622,1128161.086455,21.000000000000000,NegOcc OpCen
87,Isabela,7,Ashfall,<1mm, ,499496.178913,1128011.818157,22.000000000000000,NegOcc OpCen
88,Isabela,8,Ashfall,<1mm, ,499222.349830,1127407.033257,23.000000000000000,NegOcc OpCen
89,Isabela,9,Ashfall,<1mm, ,499890.472306,1127568.449588,44.875261347699997,NegOcc OpCen
90,Isabela,Bungahin,Ashfall,<1mm,-,502014.993741,1133108.920780,21.000000000000000,NegOcc OpCen
91,Kabankalan,1,Very light ashfall,<1mm,-,480053.644302,1105524.133960,6.000000000000000,NegOcc OpCen
92,Kabankalan,2,Very light ashfall,<1mm,-,479406.744262,1105023.530618,7.000000000000000,NegOcc OpCen
93,Kabankalan,3,Very light ashfall,<1mm,-,479680.504366,1104608.428860,7.000000000000000,NegOcc OpCen
94,Kabankalan,4,Very light ashfall,<1mm,-,480326.932921,1104235.470961,7.000000000000000,NegOcc OpCen
95,Kabankalan,5,Very light ashfall,<1mm,-,479077.788511,1104740.233008,7.000000000000000,NegOcc OpCen
96,Kabankalan,6,Very light ashfall,<1mm,-,478310.485617,1104547.529261,2.000000000000000,NegOcc OpCen
97,Kabankalan,7,Very light ashfall,<1mm,-,479515.808965,1104082.568526,9.000000000000000,NegOcc OpCen
98,Kabankalan,8,Very light ashfall,<1mm,-,479723.978945,1103957.071751,9.000000000000000,NegOcc OpCen
99,Kabankalan,9,Very light ashfall,<1mm,-,480030.698081,1103662.801093,9.000000000000000,NegOcc OpCen
100,Kabankalan,Daan Banua,Very light ashfall,<1mm,-,479618.062004,1110480.972798,1.000000000000000,NegOcc OpCen
101,Kabankalan,Hilamonan,Very light ashfall,<1mm,-,483099.721557,1104063.801973,39.208709464800002,NegOcc OpCen
102,Kabankalan,Talubangi,Very light ashfall,<1mm,-,478749.688912,1105922.907835,6.000000000000000,NegOcc OpCen
103,Kabankalan,Camansi,Very light ashfall,<1mm,-,478811.084496,1098457.040247,60.000000000000000,NegOcc OpCen
104,Kabankalan,Salong,Very light ashfall,<1mm,-,474414.797356,1097556.336224,127.438080584999994,NegOcc OpCen
105,Kabankalan,Camugao,Very light ashfall,<1mm,-,478846.642393,1103045.530895,10.000000000000000,NegOcc OpCen
106,Kabankalan,Linao,Very light ashfall,<1mm,-,477257.694443,1103524.904147,8.000000000000000,NegOcc OpCen
107,La Carlota City,Ara-al,-, ,Vibration felt and sulfuric smell,508843.768810,1151627.546619,798.651397287999998,NegOcc OpCen
108,La Carlota City,Yubo,Light ashfall,<1mm,With sulfuric smell and shock wave,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
109,La Castellana,Biaknabato,Ashfall,1-2mm,-,516036.134546,1145373.674841,450.400204256999984,NegOcc OpCen
110,La Castellana,Robles,Moderate ashfall,2-5mm,With sulfuric smell,502211.552829,1141998.397386,76.395533370600006,Social Media
111,La Castellana,Sag-ang,Heavy ashfall,2-5mm,With sulfuric smell,506206.821608,1146805.180155,224.567062703000005,APC
112,La Castellana,Mansalanao,Ashfall,1-2mm,With sulfuric smell,510607.696021,1145927.241326,520.336717649999969,NegOcc OpCen
113,La Castellana,Nato,Light ashfall,1-2mm,With sulfuric smell,497996.342283,1139862.255731,38.000000000000000,APC
114,La Castellana,Lalagsan,Light ashfall,1-2mm,With sulfuric smell,501861.454233,1137357.938276,33.000000000000000,NegOcc OpCen
115,La Castellana,Talaptap,Light ashfall,1-2mm,With sulfuric smell,499321.120076,1137532.588954,41.673663595599997,NegOcc OpCen
